Reg. Nr;Nosaukums;ATVK;Adrese;Kategorija;X koordināta;Y koordināta;Tips;Tipa nosaukums
88548/3099;"SIA ""Uzvara-94"" mehāniskās darbnīcas";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Aizupes, Uzvara;Potenciāli piesārņota vieta;22.38612777;57.19278611;92;Tirdzniecības objekti
88548/3100;"L/s ""Darba ceļš"" mehāniskās darbnīcas";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Kraujas, Priežbogas;Potenciāli piesārņota vieta;22.41722222;57.23666666;92;Tirdzniecības objekti
88548/3101;"K/s ""Talsciems"" mehāniskās darbnīcas";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Talsciems, Vecremeši;Potenciāli piesārņota vieta;22.543625;57.25340555;92;Tirdzniecības objekti
88548/3102;Vecās mehāniskās darbnīcas;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende;Potenciāli piesārņota vieta;22.51444444;57.21888888;92;Tirdzniecības objekti
88548/3103;Vecā degvielas bāze;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Spīķeri;Potenciāli piesārņota vieta;22.50416666;57.22138888;22;Naftas bāzes
88548/3104;Pastendes ciemata katlu māja;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Katlu māja;Potenciāli piesārņota vieta;22.53014722;57.22549444;19;Katlu mājas, koģenerācijas stacijas
88548/3105;"KKS ""Kalnnieki"" cūku komplekss ""Purvīši""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag.;Potenciāli piesārņota vieta;22.509167;57.239167;41;Fermas
88548/4438;SIA Bimbo;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Akmeņkaļi;Potenciāli piesārņota vieta;22.51694444;57.22166666;18;Kokapstrādes rūpn.
88548/4624;SIA „Latvija Statoil” degvielas uzpildes stacija;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Jaunzemes, Jaunratnieki;Potenciāli piesārņota vieta;22.58305555;57.23388888;21;DUS (GUS)
88588/3106;"Pesticīdu noliktava ""Tiltiņi""";Talsu novads, Īves pagasts;Latvijas Republika, Talsu nov., Īves pag., Tiltiņi;Potenciāli piesārņota vieta;22.54667777;57.40588888;43;Minerālmēslu un pesticīdu glabātavas
